prov,ac,gen,nat,labor,age2,age3,age4,age5,educ1,educ2,educ3,income
2,8,2,1,3,1,0,0,0,0,1,0,11745.7390088259
2,8,2,2,3,0,0,1,0,1,0,0,21280.9098352387
2,8,2,1,3,0,0,0,1,1,0,0,10208.0905595423
2,8,2,1,1,0,1,0,0,0,1,0,12337.8076655034
2,8,2,1,1,0,1,0,0,0,1,0,13029.6610954079
2,8,1,1,0,0,0,0,0,0,0,0,11834.0572313937
2,8,1,1,1,0,0,1,0,0,1,0,9995.0701061964
2,8,1,1,1,0,0,1,0,0,1,0,22789.8220801423
2,8,1,1,0,0,1,0,0,0,0,0,25040.1106507734
2,8,2,1,3,0,0,1,0,1,0,0,17945.374793183
2,8,1,1,1,0,1,0,0,0,1,0,6682.34074120733
2,8,1,1,1,0,1,0,0,0,1,0,13416.2111090566
2,8,2,1,3,1,0,0,0,0,1,0,15926.2993123176
2,8,2,1,1,0,1,0,0,0,0,1,27691.3920211174
2,8,2,1,1,0,1,0,0,0,1,0,16869.3243925566
2,8,1,1,0,0,0,0,0,0,0,0,9246.1614780568
2,8,1,1,1,0,1,0,0,0,1,0,8404.94196203972
2,8,2,1,0,0,0,0,0,0,0,0,6307.24565818257
2,8,2,1,3,0,0,0,1,1,0,0,6830.01360533732
2,8,2,1,3,0,1,0,0,1,0,0,3521.3722643479
2,8,2,1,3,0,0,0,1,1,0,0,16739.7977551353
2,8,1,1,3,0,0,0,1,0,1,0,17940.8466186216
2,8,2,1,0,0,0,0,0,0,0,0,16685.4879378822
2,8,1,1,0,0,1,0,0,0,0,0,16194.3450592781
2,8,1,1,0,0,1,0,0,0,0,0,15175.5656051448
2,8,2,1,0,0,0,0,1,0,0,0,16018.9403002625
2,8,2,1,1,0,1,0,0,0,1,0,35115.7623125182
2,8,2,1,2,0,1,0,0,0,0,1,3860.15250561309
2,8,2,1,3,1,0,0,0,0,0,1,23135.6992164153
2,8,1,1,1,0,0,1,0,0,1,0,6398.34138576728
2,8,2,1,3,0,1,0,0,1,0,0,5486.30028973047
2,8,2,1,3,0,0,1,0,0,1,0,11419.800527307
2,8,1,1,1,0,1,0,0,0,1,0,28594.9682257499
2,8,1,1,1,0,1,0,0,1,0,0,3972.6766341442
2,8,1,1,0,0,1,0,0,0,0,0,12723.3408844799
2,8,1,1,1,0,1,0,0,0,1,0,11666.8605713273
2,8,2,1,1,0,1,0,0,0,0,1,26558.2240913095
2,8,1,1,0,0,0,0,0,0,0,0,18681.2376367675
2,8,1,1,1,0,1,0,0,0,1,0,4482.16969016296
2,8,1,1,3,0,0,0,1,1,0,0,7194.3269214318
2,8,2,1,0,0,0,0,0,0,0,0,8459.2326712717
2,8,1,1,1,0,1,0,0,1,0,0,13020.8460256558
2,8,1,1,3,0,0,0,1,1,0,0,5622.5669563003
2,8,2,1,1,0,1,0,0,0,0,1,6902.18670273889
2,8,1,1,1,0,0,1,0,1,0,0,14171.2680656479
2,8,1,1,1,0,1,0,0,0,0,1,27444.7900730351
2,8,2,1,3,0,0,0,1,1,0,0,8544.41990363759
2,8,2,1,0,0,1,0,0,0,0,0,12455.7126639886
2,8,1,1,1,0,1,0,0,0,0,1,7045.3991359262
2,8,1,1,3,1,0,0,0,0,1,0,4294.96239361299
2,8,2,1,1,1,0,0,0,0,1,0,19198.9207135501
2,8,2,1,3,0,0,0,1,1,0,0,4194.93289938119
2,8,2,1,0,0,0,0,0,0,0,0,11206.5114013208
2,8,1,1,1,0,1,0,0,0,1,0,9366.5739605127
2,8,2,1,3,0,0,0,1,1,0,0,4092.92299469709
2,8,1,1,0,0,1,0,0,0,0,0,13837.9640536708
2,8,1,1,0,0,1,0,0,0,0,0,7203.10017799518
2,8,2,1,3,1,0,0,0,1,0,0,8363.3953306811
2,8,2,1,3,0,0,0,1,1,0,0,5038.24426597402
2,8,2,1,0,0,0,0,0,0,0,0,11519.8034401231
2,8,1,1,3,0,0,1,0,0,1,0,29650.8253711303
2,8,1,1,1,0,1,0,0,0,1,0,14239.6475377438
2,8,2,1,3,0,0,1,0,1,0,0,17576.4142710223
2,8,2,1,3,0,0,0,1,1,0,0,11137.2223032087
2,8,1,1,1,0,1,0,0,0,1,0,20740.067925989
2,8,1,1,1,0,1,0,0,0,1,0,32516.3490987903
2,8,1,1,1,0,1,0,0,0,0,1,32718.7622783775
2,8,1,1,0,0,0,0,0,0,0,0,9858.80976900145
2,8,2,1,1,0,1,0,0,0,1,0,19655.7616980667
2,8,2,1,3,0,1,0,0,0,1,0,23030.3497212957
2,8,1,1,0,0,1,0,0,0,0,0,17285.9016333018
2,8,1,1,0,0,0,0,0,0,0,0,14554.3185145407
2,8,2,1,1,0,1,0,0,0,1,0,9311.04392001357
2,8,1,1,3,1,0,0,0,0,1,0,15709.5207376763
2,8,1,1,1,0,1,0,0,0,1,0,14546.0119180095
2,8,2,1,0,0,0,0,1,0,0,0,7676.98546021141
2,8,2,2,3,0,0,0,1,1,0,0,8806.88901734171
2,8,2,1,1,0,1,0,0,0,1,0,10564.639277755
2,8,1,1,1,0,0,1,0,1,0,0,6671.6758750814
2,8,1,1,3,0,0,0,1,1,0,0,21873.313543119
2,8,2,1,3,0,0,0,1,0,1,0,24826.0355873499
2,8,2,1,1,0,0,1,0,0,1,0,15089.5538437449
2,8,2,1,3,0,1,0,0,0,1,0,12154.8164380662
2,8,1,1,0,0,0,0,0,0,0,0,8295.19522397637
2,8,2,1,1,0,1,0,0,0,1,0,11792.9738113924
2,8,2,1,3,0,1,0,0,0,1,0,19683.2871552152
2,8,1,1,0,0,0,0,0,0,0,0,8887.71626294817
2,8,1,1,3,0,0,0,1,0,0,1,29350.7695966616
2,8,1,1,0,0,0,0,0,0,0,0,11674.5561356401
2,8,2,1,1,0,1,0,0,0,1,0,18400.1373484927
2,8,2,1,0,0,0,0,0,0,0,0,26629.4472764979
2,8,2,1,1,0,1,0,0,1,0,0,13443.6838108028
2,8,1,1,3,0,1,0,0,0,1,0,26610.5151631561
2,8,1,1,1,0,1,0,0,1,0,0,5654.81079687228
2,8,2,1,1,0,0,1,0,1,0,0,3056.5919407189
2,8,2,1,1,0,0,1,0,0,1,0,25080.8185231759
2,8,1,1,1,0,1,0,0,1,0,0,6610.36305376597
2,8,1,1,0,0,0,0,0,0,0,0,19594.7091454298
2,8,1,1,3,0,0,1,0,1,0,0,13598.4198194526
2,8,2,1,3,0,0,1,0,1,0,0,8438.83282515317
2,8,1,1,1,0,1,0,0,0,1,0,15432.4870634156
2,8,2,1,3,0,1,0,0,1,0,0,24527.7182609498
2,8,2,1,3,0,0,0,1,0,1,0,18980.1772359663
2,8,2,1,0,0,0,0,0,0,0,0,19195.3285531837
2,8,1,1,0,0,0,0,0,0,0,0,8362.14471541543
2,8,2,1,3,0,0,1,0,1,0,0,2805.61169937218
2,8,1,1,3,0,0,0,1,1,0,0,13568.6896970227
2,8,2,1,1,0,1,0,0,0,0,1,21299.8345321417
2,8,1,1,3,0,0,0,1,0,0,1,21861.93572222
2,8,2,1,3,0,0,0,1,0,1,0,19901.3935528996
2,8,2,1,3,0,1,0,0,0,1,0,2367.52716888103
2,8,1,1,1,0,0,1,0,1,0,0,9771.51444525072
2,8,1,1,1,0,1,0,0,0,1,0,29348.1126240161
2,8,1,1,1,0,0,1,0,0,0,1,13579.3092149491
2,8,1,1,0,1,0,0,0,0,0,0,12740.1171259683
2,8,1,1,3,0,1,0,0,0,1,0,13931.175293409
2,8,1,1,1,0,0,1,0,0,1,0,11249.1067567035
2,8,1,1,1,0,1,0,0,0,1,0,12591.0035413194
2,8,1,1,1,0,1,0,0,0,1,0,6775.25704027069
2,8,2,1,3,1,0,0,0,0,0,1,8818.95861435572
2,8,2,1,3,0,0,0,1,1,0,0,26117.9548330386
2,8,1,1,1,0,1,0,0,0,0,1,10541.9118307585
2,8,1,1,0,0,0,0,0,0,0,0,8942.39613161522
2,8,2,1,0,0,0,0,0,0,0,0,5390.23433380779
2,8,1,1,1,0,0,1,0,0,0,1,21103.4771447084
2,8,1,1,1,0,1,0,0,1,0,0,10160.6485314264
2,8,2,1,3,0,0,0,1,1,0,0,10105.2433042948
2,8,1,1,0,0,0,0,0,0,0,0,6862.45544502683
2,8,2,1,3,0,0,0,1,1,0,0,5010.60993505034
2,8,2,1,0,0,0,0,0,0,0,0,5673.43390714749
2,8,2,1,3,0,0,0,1,1,0,0,15589.6960791784
2,8,2,1,3,0,0,0,1,1,0,0,7680.6374572905
2,8,2,1,0,0,0,0,0,0,0,0,6319.3255077428
2,8,2,1,3,0,0,0,1,1,0,0,11172.4609455494
2,8,2,1,3,0,1,0,0,0,0,1,7989.17616441508
2,8,1,1,0,1,0,0,0,0,0,0,9476.95189223512
2,8,1,1,1,1,0,0,0,0,1,0,8542.16263844469
2,8,1,1,0,0,0,0,0,0,0,0,14211.1053164935
2,8,1,1,3,0,0,0,1,0,1,0,1809.91724885223
2,8,2,1,3,0,0,1,0,0,0,1,21760.9601516907
2,8,1,1,3,0,0,0,1,1,0,0,16962.3406150579
2,8,1,1,1,0,0,1,0,1,0,0,13611.6492405701
2,8,1,1,0,0,0,0,0,0,0,0,16333.8868689622
2,8,1,1,3,0,0,0,1,1,0,0,12275.2373023801
2,8,2,2,3,0,0,0,1,1,0,0,23464.7867147974
2,8,1,1,3,1,0,0,0,0,1,0,6814.53545201188
2,8,2,1,0,0,0,0,0,0,0,0,3699.19914160422
2,8,2,1,3,0,0,0,1,1,0,0,7427.53760431324
2,8,2,1,3,0,0,0,1,1,0,0,5395.95980829815
2,8,2,1,3,0,0,1,0,1,0,0,8465.63935992031
2,8,2,1,3,0,0,1,0,0,1,0,13599.3477943667
2,8,2,1,2,0,1,0,0,0,1,0,4986.47693090566
2,8,1,1,1,0,1,0,0,0,1,0,15412.7640195755
2,8,2,1,2,1,0,0,0,0,1,0,11409.7880436267
2,8,2,1,3,1,0,0,0,0,1,0,22278.5145646943
2,8,1,1,0,0,0,0,0,0,0,0,7275.64434547698
2,8,2,1,0,0,0,0,0,0,0,0,13322.3692480515
2,8,1,1,0,0,0,0,0,0,0,0,13344.1981548929
2,8,2,1,2,0,1,0,0,0,0,1,11405.7372812476
2,8,2,1,3,0,0,1,0,1,0,0,19291.5459096416
2,8,2,1,0,0,0,0,0,0,0,0,20420.8959082923
2,8,1,1,0,0,0,0,0,0,0,0,7859.6874194933
2,8,2,1,0,0,0,0,0,0,0,0,8222.33560315089
2,8,2,1,2,1,0,0,0,0,1,0,10592.558162415
2,8,1,1,3,0,0,0,1,1,0,0,7971.79845858117
2,8,2,1,3,0,0,0,1,1,0,0,7853.73989148972
2,8,1,1,3,0,0,0,1,1,0,0,7477.37424638698
2,8,2,1,0,1,0,0,0,0,0,0,8348.8107453937
2,8,2,1,0,0,0,0,0,0,0,0,11444.8335363558
2,8,1,2,3,0,0,1,0,0,0,1,8552.00693589214
2,8,1,1,1,0,1,0,0,1,0,0,5411.33518197529
2,8,1,1,1,0,1,0,0,0,0,1,16401.5508689096
3,10,2,1,1,0,1,0,0,0,1,0,8104.04195900873
3,10,2,1,0,0,0,0,0,0,0,0,2826.86327565492
3,10,2,1,3,0,0,1,0,1,0,0,12032.7490367351
3,10,1,1,3,0,0,0,1,1,0,0,13824.2199439068
3,10,2,1,1,0,1,0,0,0,1,0,27469.3578732892
3,10,1,1,0,0,0,0,0,0,0,0,2277.39366330535
3,10,2,1,1,0,1,0,0,0,0,1,28127.6760189564
3,10,1,1,3,0,1,0,0,1,0,0,10328.2837522463
3,10,2,1,0,0,0,0,0,0,0,0,11685.7082587444
3,10,2,2,1,0,1,0,0,0,1,0,6855.64493369772
3,10,2,1,3,0,0,0,1,0,0,1,21227.3510498875
3,10,1,1,1,0,1,0,0,0,1,0,17613.0013700824
3,10,2,1,3,0,1,0,0,0,1,0,3042.83361948739
3,10,2,1,3,0,0,0,1,1,0,0,14920.8566295984
3,10,2,1,1,0,1,0,0,0,1,0,15368.707696538
3,10,1,1,1,0,1,0,0,0,1,0,7304.34233890213
3,10,2,1,3,0,0,1,0,1,0,0,5592.41297942099
3,10,1,1,3,0,0,1,0,0,1,0,16465.0088800206
3,10,2,1,3,0,0,0,1,1,0,0,9321.9963656586
3,10,2,1,3,0,0,0,1,0,1,0,17658.2839952646
3,10,1,1,0,0,0,0,0,0,0,0,18700.7861881235
3,10,1,1,3,0,0,0,1,1,0,0,8763.30390124841
3,10,2,2,3,0,0,1,0,0,1,0,11650.6234311529
3,10,1,1,1,0,1,0,0,0,1,0,14320.3538763113
3,10,2,1,3,1,0,0,0,1,0,0,11305.9878093453
3,10,2,1,1,0,1,0,0,0,1,0,6061.1437368554
3,10,1,2,1,0,1,0,0,0,1,0,4150.73760970284
3,10,1,1,1,0,1,0,0,0,0,1,32367.4066528963
3,10,1,1,1,1,0,0,0,1,0,0,18766.563453288
3,10,2,1,3,0,0,0,1,1,0,0,22178.7501004655
3,10,1,1,1,0,0,1,0,1,0,0,20447.892363903
3,10,1,1,1,0,1,0,0,0,0,1,9040.99375762708
3,10,1,1,1,0,1,0,0,0,1,0,3846.11685699578
3,10,1,1,3,0,0,0,1,1,0,0,10225.8391567465
3,10,1,1,3,0,0,0,1,1,0,0,14152.2551358059
3,10,2,1,1,0,1,0,0,1,0,0,4607.94011913489
3,10,1,1,1,0,1,0,0,0,1,0,6807.02397912713
3,10,1,1,1,0,1,0,0,1,0,0,15164.487454589
3,10,1,1,1,0,1,0,0,0,1,0,13647.5330593145
3,10,1,1,1,0,1,0,0,0,0,1,19935.8252913244
3,10,1,1,1,0,0,1,0,0,0,1,11054.669111679
3,10,1,1,1,0,1,0,0,0,1,0,3903.87866129173
3,10,2,1,0,0,0,0,0,0,0,0,14636.2168061253
3,10,1,1,1,0,1,0,0,0,1,0,2831.91772448909
3,10,2,1,1,0,0,1,0,0,1,0,17627.543274213
3,10,1,1,1,0,1,0,0,0,0,1,5969.54015926116
3,10,1,1,0,0,0,0,0,0,0,0,14240.9258881262
3,10,2,1,3,0,1,0,0,1,0,0,10878.8634030001
3,10,1,1,1,0,1,0,0,0,1,0,18532.4620671966
3,10,1,1,0,0,0,0,0,0,0,0,13402.0549631577
3,10,2,1,3,0,0,1,0,0,1,0,7321.28046702542
3,10,2,1,0,0,1,0,0,0,0,0,6357.96662268451
3,10,1,1,3,0,0,0,1,1,0,0,10686.555350057
3,10,1,1,1,1,0,0,0,0,1,0,29176.2196841113
3,10,1,1,1,0,1,0,0,0,1,0,7333.02590456202
3,10,1,1,0,0,0,0,0,0,0,0,3979.11696189407
3,10,2,1,1,0,1,0,0,0,1,0,16880.7411129677
3,10,2,1,1,0,1,0,0,0,1,0,1660.96810828782
3,10,2,1,1,0,1,0,0,0,1,0,8623.8949263896
3,10,1,1,1,0,1,0,0,1,0,0,5566.00850911379
3,10,2,1,3,0,0,0,1,1,0,0,5005.29674743922
3,10,1,1,2,0,1,0,0,0,0,1,22556.3524284798
3,10,2,1,3,0,0,0,1,1,0,0,7417.4712572639
3,10,1,1,0,0,0,0,0,0,0,0,8862.78219599755
3,10,1,1,0,0,0,0,0,0,0,0,18085.6646533405
3,10,1,1,1,0,1,0,0,1,0,0,9446.30384064628
3,10,2,1,1,0,1,0,0,1,0,0,28865.6641570722
3,10,2,1,1,0,1,0,0,0,0,1,43013.4692441573
3,10,2,1,1,0,1,0,0,1,0,0,4598.29232084702
3,10,2,1,1,0,1,0,0,0,1,0,15376.5842493463
3,10,2,1,3,0,0,0,1,1,0,0,18524.8411661647
3,10,2,1,0,0,0,0,0,0,0,0,12337.4979704592
3,10,2,1,1,1,0,0,0,0,1,0,14176.1828501099
3,10,2,1,3,1,0,0,0,0,1,0,10265.1311306396
3,10,2,1,3,0,0,1,0,1,0,0,26271.9867856166
3,10,2,1,0,0,0,0,0,0,0,0,12094.6091659445
3,10,1,1,3,0,0,1,0,0,1,0,14822.3726585706
3,10,2,2,0,0,0,0,0,0,0,0,10646.0255453814
3,10,1,1,3,1,0,0,0,0,1,0,9316.94268687128
3,10,1,1,1,0,1,0,0,1,0,0,4576.73810319331
3,10,1,1,0,0,0,0,0,0,0,0,12795.7649560913
3,10,2,1,1,0,1,0,0,0,1,0,21259.450180331
3,10,2,1,1,1,0,0,0,0,1,0,22342.8776566921
3,10,2,1,1,0,1,0,0,1,0,0,13046.0884547565
3,10,1,2,1,0,1,0,0,0,1,0,17783.6974645651
3,10,1,1,1,0,1,0,0,1,0,0,7244.29857163327
3,10,1,1,0,0,0,0,0,0,0,0,7660.50453181408
3,10,1,1,1,0,1,0,0,0,1,0,8868.06947420897
3,10,1,1,1,0,1,0,0,0,1,0,28981.6747794183
3,10,2,1,1,1,0,0,0,0,1,0,17057.6271976657
3,10,2,1,3,0,0,0,1,1,0,0,8693.67830502272
3,10,1,1,3,0,0,0,1,1,0,0,7135.9876620979
3,10,2,1,1,0,1,0,0,0,1,0,22499.645315019
3,10,1,1,3,0,0,0,1,1,0,0,6684.39662594646
3,10,2,1,3,0,0,0,1,1,0,0,2034.7491446546
3,10,2,1,0,0,0,0,0,0,0,0,13800.0528106006
3,10,1,1,0,0,0,0,0,0,0,0,15600.3376921777
3,10,2,1,3,0,0,1,0,1,0,0,3433.18668648443
3,10,1,1,1,0,1,0,0,0,1,0,8740.87071534723
3,10,1,1,0,0,0,0,0,0,0,0,3324.98081758774
3,10,2,1,0,0,0,0,0,0,0,0,10158.1965211713
3,10,2,1,1,0,1,0,0,0,1,0,12191.6785265855
3,10,2,1,1,0,1,0,0,0,1,0,10468.5226562836
3,10,2,1,1,0,1,0,0,0,1,0,34259.3255157519
3,10,1,1,1,0,1,0,0,0,1,0,14720.0859475606
3,10,1,2,0,0,0,0,0,0,0,0,5165.51888456229
3,10,2,1,3,0,0,0,1,1,0,0,7404.11472274365
3,10,2,2,0,0,0,0,0,0,0,0,7493.29834022944
3,10,1,1,0,0,0,0,0,0,0,0,3608.60039723085
3,10,1,1,1,0,0,1,0,1,0,0,17711.2240553199
3,10,2,1,1,0,1,0,0,0,1,0,11817.2353079582
3,10,2,1,3,0,0,0,1,1,0,0,7586.19743021869
3,10,1,1,1,0,0,1,0,1,0,0,8551.71184966364
3,10,2,1,3,1,0,0,0,0,1,0,6588.70792417684
3,10,2,1,1,0,1,0,0,0,1,0,7738.86962841435
3,10,1,2,0,0,0,0,0,0,0,0,10847.4691890646
3,10,2,1,1,0,1,0,0,0,1,0,9507.0125057913
3,10,1,1,0,0,0,0,0,0,0,0,10555.6628470539
3,10,1,1,1,1,0,0,0,0,1,0,21597.32780263
3,10,1,2,2,0,1,0,0,0,1,0,7029.73512759878
3,10,2,1,3,1,0,0,0,0,1,0,7504.72136905068
3,10,1,1,3,0,0,0,1,1,0,0,4807.8206217551
3,10,2,2,3,1,0,0,0,0,1,0,15004.8467761554
3,10,1,1,0,0,0,0,0,0,0,0,13106.5650440738
3,10,1,1,3,0,0,0,1,1,0,0,13413.9715358415
3,10,1,1,1,0,1,0,0,1,0,0,4869.48735376262
3,10,1,1,1,0,1,0,0,0,1,0,21257.4606399379
3,10,2,1,3,0,0,0,1,1,0,0,6396.24433148369
3,10,2,1,0,0,0,0,0,0,0,0,19567.9410846625
3,10,1,1,3,1,0,0,0,0,1,0,10231.6528610246
3,10,1,1,0,0,0,0,0,0,0,0,4926.53333973029
3,10,2,1,3,1,0,0,0,0,1,0,20657.3511276977
3,10,2,1,1,1,0,0,0,0,1,0,5544.57273878091
3,10,1,1,3,0,0,0,1,1,0,0,24884.1100872586
3,10,1,1,1,0,1,0,0,0,1,0,9386.86980791257
3,10,2,1,1,1,0,0,0,0,1,0,9166.57088282672
3,10,1,1,3,1,0,0,0,0,1,0,4095.60267073413
3,10,2,1,3,0,0,1,0,0,1,0,11319.0938443617
3,10,2,1,2,1,0,0,0,0,1,0,7856.33252688586
3,10,1,1,0,0,0,0,0,0,0,0,11626.0266003862
3,10,2,1,0,0,0,0,0,0,0,0,6574.687485868
3,10,2,1,0,0,0,0,0,0,0,0,8663.72146601855
3,10,2,1,3,1,0,0,0,0,1,0,14613.5943667507
3,10,1,1,1,0,0,1,0,1,0,0,12849.2864006537
3,10,2,1,1,0,1,0,0,0,1,0,8029.91428203594
3,10,2,1,1,0,0,1,0,1,0,0,4682.60961114085
3,10,2,1,3,0,0,1,0,0,1,0,9519.45221752404
3,10,2,2,3,0,1,0,0,1,0,0,4032.80897604311
3,10,1,1,1,1,0,0,0,0,1,0,14461.562430679
3,10,2,1,1,0,0,1,0,0,1,0,9366.17848583748
3,10,2,1,1,0,0,1,0,1,0,0,5409.52645494
3,10,2,1,2,0,1,0,0,1,0,0,7985.65591344539
3,10,1,1,0,0,0,0,0,0,0,0,2830.25542217577
3,10,1,1,1,0,0,1,0,1,0,0,10864.8907610189
3,10,1,1,0,0,0,0,0,0,0,0,10945.2963303909
3,10,2,1,1,0,0,1,0,0,0,1,20118.4867384611
3,10,1,1,1,0,0,1,0,1,0,0,15501.9603303903
3,10,2,1,1,0,1,0,0,0,1,0,14612.4347683393
3,10,2,1,0,0,0,0,0,0,0,0,7124.65411968413
3,10,1,2,3,1,0,0,0,1,0,0,13240.7183128323
3,10,2,1,3,0,0,1,0,1,0,0,18877.8260149148
3,10,2,1,0,0,0,0,0,0,0,0,6398.63869961002
3,10,1,1,1,0,1,0,0,0,1,0,7059.85827725126
3,10,1,1,0,0,0,0,0,0,0,0,6646.40581521839
3,10,1,1,1,0,1,0,0,0,1,0,6048.63106581838
3,10,2,1,1,0,1,0,0,1,0,0,4451.60395338389
